library_id,name,candidate_role,receptor_state,seed,affinity,output_pdbqt
LIB100_0031,BMS-986205,prespecified_bms,W730A,101,-7.435,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_W730A_seed_101.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,W730A,999,-7.493,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_W730A_seed_999.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,W730A,1234,-7.462,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_W730A_seed_1234.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,W730A,2023,-7.452,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_W730A_seed_2023.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,WT,42,-7.724,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_WT_seed_42.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,WT,101,-7.726,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_WT_seed_101.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,WT,999,-7.722,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_WT_seed_999.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,WT,1234,-7.712,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_WT_seed_1234.pdbqt
LIB100_0031,BMS-986205,prespecified_bms,WT,2023,-7.723,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0031_WT_seed_2023.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,W730A,42,-6.527,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_W730A_seed_42.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,W730A,101,-6.532,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_W730A_seed_101.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,W730A,999,-6.525,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_W730A_seed_999.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,W730A,1234,-6.521,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_W730A_seed_1234.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,W730A,2023,-6.512,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_W730A_seed_2023.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,WT,42,-6.684,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_WT_seed_42.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,WT,101,-6.579,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_WT_seed_101.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,WT,999,-6.484,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_WT_seed_999.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,WT,1234,-6.698,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_WT_seed_1234.pdbqt
COMPARATOR_ERDRP,ERDRP-0519,external_pocket_relevant_comparator,WT,2023,-6.701,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/COMPARATOR_ERDRP_WT_seed_2023.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,W730A,42,-7.441,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_W730A_seed_42.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,W730A,101,-7.428,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_W730A_seed_101.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,W730A,999,-7.428,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_W730A_seed_999.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,W730A,1234,-7.438,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_W730A_seed_1234.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,W730A,2023,-7.432,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_W730A_seed_2023.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,WT,42,-7.76,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_WT_seed_42.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,WT,101,-7.774,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_WT_seed_101.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,WT,999,-7.779,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_WT_seed_999.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,WT,1234,-7.779,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_WT_seed_1234.pdbqt
LIB100_0002,bendroflumethiazide,mutation_ranked_finalist,WT,2023,-7.78,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0002_WT_seed_2023.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,W730A,42,-6.614,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_W730A_seed_42.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,W730A,101,-6.642,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_W730A_seed_101.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,W730A,999,-6.494,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_W730A_seed_999.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,W730A,1234,-6.503,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_W730A_seed_1234.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,W730A,2023,-6.517,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_W730A_seed_2023.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,WT,42,-6.658,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_WT_seed_42.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,WT,101,-6.646,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_WT_seed_101.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,WT,999,-6.627,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_WT_seed_999.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,WT,1234,-6.307,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_WT_seed_1234.pdbqt
LIB100_0037,eldecalcitol,mutation_ranked_finalist,WT,2023,-6.649,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0037_WT_seed_2023.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,W730A,42,-8.287,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_W730A_seed_42.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,W730A,101,-8.284,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_W730A_seed_101.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,W730A,999,-8.273,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_W730A_seed_999.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,W730A,1234,-8.285,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_W730A_seed_1234.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,W730A,2023,-8.287,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_W730A_seed_2023.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,WT,42,-8.051,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_WT_seed_42.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,WT,101,-8.057,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_WT_seed_101.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,WT,999,-8.043,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_WT_seed_999.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,WT,1234,-8.058,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_WT_seed_1234.pdbqt
LIB100_0009,epinastine,mutation_ranked_finalist,WT,2023,-8.05,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0009_WT_seed_2023.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,W730A,42,-8.147,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_W730A_seed_42.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,W730A,101,-8.149,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_W730A_seed_101.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,W730A,999,-8.131,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_W730A_seed_999.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,W730A,1234,-8.147,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_W730A_seed_1234.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,W730A,2023,-8.15,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_W730A_seed_2023.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,WT,42,-7.923,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_WT_seed_42.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,WT,101,-7.858,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_WT_seed_101.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,WT,999,-7.824,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_WT_seed_999.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,WT,1234,-7.929,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_WT_seed_1234.pdbqt
LIB100_0054,siramesine,mutation_ranked_finalist,WT,2023,-7.846,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 5/results/focused_100_pdbqt/LIB100_0054_WT_seed_2023.pdbqt
